Starting Price,Mean end price,STDEV end price,Max end price,Min end price,Average percent change in price,Overall max price,Overall min price
123.22000122070312,144.03532680580915,82.34112420004756,333.05733116202913,61.31236711321731,-16.892813974107217,367.33369397568123,50.18800043727392
"
"
Simulation Data
Iteration,Data
0.0,123.72651383652882,123.20911787164033,119.18906313406681,124.5858719290368,123.69794132701747,126.85167061914302,126.80213935650191,125.2360918325027,132.8584899893356,130.6116271540687,128.49117143646347,127.30353517593342,133.04351042439498,131.64062681746023,133.00447825113628,134.92090280773672,128.98656915740585,129.3305560541666,127.00043928024805,117.02212407071903,114.40991757916767,122.64196573806221,122.695466744622,123.28080905296979,125.92847743423913,128.01641265453492,129.2948879995349,131.81548500363616,131.4573208989358,134.21139732595304,140.71273615007786,137.915804359523,143.1935810453857,139.68115256705107,139.28938698038553,148.21453392331617,147.1842343352745,140.47272373645598,135.60487844304083,128.28299480772918,128.1050627665071,125.87332945501373,123.3438189105753,129.68712540485532,127.8736301817184,133.7319210769901,139.53986252730826,143.42892473501897,143.2907737874169,151.4314167261539,154.38324442967996,152.19848690689858,149.8441481117769,134.21047990119604,138.14578079391842,135.604376527599,139.2356881417717,135.045334047392,137.33827921033327,139.18675742195958,143.2738641079781,140.635766230742,147.1576151036644,141.2347297542223,136.83569618299634,137.93938191237942,136.21832113796444,145.25013850742607,147.20641979924176,142.81967828927492,139.31445185113955,139.9060884201701,135.7956311417928,140.4411993959421,142.91733077712448,146.82168522396918,145.9573801974149,145.48002408780275,148.18492849512253,138.13165370516984,129.2272994723508,128.9298906924722,133.3263718429434,128.5270367699517,129.21215110875886,133.598742232553,138.9683645867126,130.80485793583622,138.13192858701743,139.46435358955594,145.08239718623514,147.5007577701714,146.1933852468702,145.23795544623928,144.52573731078598,139.4565203820799,144.14186902561298,140.3233644312122,137.57075613015292,143.54582484408672,138.81798953445815,142.20948722960983,148.13222524151777,154.5688396446632,147.55554792499092,149.57501864388624,145.8500221061836,148.9909524998283,159.805201592572,155.2714287820207,156.3164598947168,153.25925109488432,157.1396414539667,169.39411566807195,166.0947851121395,164.62364212537892,168.8016625804754,166.79450985263398,166.51897431271075,168.04281269313984,168.37497102547223,168.10846533385063,162.3222725933308,163.1435111124519,160.50569447736714,162.4996174474569,168.26914034255964,159.3979453006661,166.83724327724622,158.77537069432407,155.06623390733796,153.86251025191348,149.39796371698637,150.36562917420224,154.61073364840001,158.6929318821676,159.7821052215702,161.16967558036905,164.67771620230062,172.48440990327808,160.88973009892842,161.32675542325913,170.52842767566912,173.0785257215493,163.51828563682656,170.08462714662824,168.98934164552563,165.8049961553897,172.5331962153399,175.3517065199148,169.52928490407658,167.12541291864292,168.90968070624177,175.9098697905341,174.42010695297202,175.45312444057177,168.98715829254755,173.40537773332434,169.9511953244363,170.30412243866985,167.3170821563329,172.15234817988016,173.5788475475411,174.83171833886726,179.56465716512295,178.96112616238923,181.66093978388892,196.79527090215987,203.23655293172513,216.85227996525248,225.35647757203543,230.06520763225177,226.2843735299062,213.05661716971807,212.99115381198772,201.11934598108598,211.8952435071318,208.30952106454575,213.538882826906,219.1198176396013,226.14965145320977,221.10602140985762,215.03204330215553,206.5683475479768,198.6977315593605,191.42694837373458,184.7757587347113,196.32623367132675,196.0119372309077,198.01516319951702,201.92559793874543,200.22877919038064,220.4463308960705,218.82833867199548,214.75203211056865,219.2063128557296,208.78438256800504,200.734089162322,190.73021699973404,180.3186306877506,180.66649283659612,175.98326568317813,178.49521877225555,182.70428527324168,178.75286237667672,184.64596821489584,181.10678290445566,176.36723212832166,174.55623911764238,175.6392206431378,180.43334178720423,185.50165842957483,181.04998472515365,190.8647592203781,199.65910462562593,190.8168311831937,188.55628008497962,200.86524789295936,191.46734048435667,195.36857381970688,189.15299086468067,201.44643291689292,197.88227866708914,195.9429986641196,200.79651913416143,204.3007597489664,217.3323397635128,208.37862804879185,202.54932052770553,201.26327004753097,207.94127837220861,206.38014809017693,193.87181312506775,187.50491160214474,178.9202088549428,172.96138995495696,172.0032517890828,172.42821340352629,171.10656381376793,177.74621128129965,159.14197687154913,149.83616329058097,149.58439254235122,145.09605558802653,144.35247146810522,154.89664272240273,152.21194437541794,157.415200310193,150.10400828458802,155.45335083743973,144.58273464015886,142.28716528685538
1.0,121.73058925698184,115.43749714157585,111.56512737680711,116.75476649238311,107.38859513269581,106.98184860225335,107.98312778930412,106.68070671382385,109.63438017177499,107.43749791192768,109.84577262445646,113.33535273087051,113.82321749259202,115.23739884916043,120.34781021102772,127.23304390409366,119.45985560532574,121.65562376334707,121.5538706843582,125.23037203390021,128.89833084351304,123.88321680316083,129.1463743945251,120.95376104137436,127.35572105529833,138.89900582992334,137.17926890438446,142.40666673170614,143.5355212497432,136.9174606823413,133.4519516728534,141.94913943896935,145.53216808077804,139.77948281207887,145.53594573761038,144.88587466539425,156.20121620241542,150.0535833484083,153.18559754288015,154.44035649774582,162.79046913933965,156.7678046793784,158.7407225612791,155.18359862285544,161.31045277230868,172.56900340383336,173.75104502818485,170.8308218287685,163.11415076379544,159.54225136734217,158.76974299373973,152.19563322736803,156.5161525453951,155.7795995885446,158.72589785791098,170.47939550841977,171.89515280901563,173.05995784817097,169.72247559662978,168.53399733344088,167.68676106340843,166.3926503661229,173.68087085336737,173.71123965576098,172.83559905880477,165.12595944998,163.76999946313575,160.5062605967712,155.40851397595472,157.2063490586948,158.66323928922128,159.37023433440166,158.39411663953965,155.74166805746233,153.9073499136922,157.33290025856937,159.6705033065281,164.9344583576028,170.70520101132863,166.69039655109694,168.1621298697531,170.56933873592794,174.40907933590435,180.62529961629056,182.62018213926433,177.35142495218463,177.79468600471102,165.52653560080813,169.43641554675662,171.89583310225092,166.91945650556278,169.21651561917045,159.4810985165899,155.00537174103738,157.57381788897524,157.0186934511934,154.41850902562138,149.93632689517062,151.84610575689916,153.85430655179852,159.6308913556539,154.71467742567563,159.64073214554037,162.98043825752472,157.83807736656965,157.55686283312892,156.6165474360181,150.89673716364652,150.44170975258754,155.59394699147614,152.04540101541818,156.00276270923862,156.9214518172818,156.91607371010534,153.1889003824153,152.71731963913115,158.79993867358738,159.8106119725662,160.87844706364743,160.09895929581435,150.48218464073884,146.22108718495232,149.9105707182984,147.92180150186988,149.29411778487002,146.36156727844585,147.41658828052368,146.29626031873318,139.42506459695377,134.64868833423762,137.42360420868923,132.37242963573476,131.4754720898536,130.15704228801934,134.43497003976384,136.5285771931565,134.8841894773412,126.36243412439129,133.1732626828637,127.48285320420872,126.4368059896036,130.04647824457268,135.51782876324222,135.3014180988908,139.09095066706658,130.51591899851465,132.77617797712372,127.66149577005072,125.66563797101234,118.41390966097093,111.42894193247865,108.4135033910821,103.13838470641541,98.2103964486929,101.84442548785358,101.63190187778486,101.99180470344201,110.4085552671381,113.05406937762531,112.4681288962736,104.67012114366328,107.43518482069582,106.71328245569218,111.1359062313017,114.55809616947245,111.55589354878371,112.45295314257636,111.2691718881211,107.51047064600974,113.73402836767148,118.71021707528408,115.79552160362074,114.28172268566446,104.79457301543252,106.98566381093845,107.45768227574285,103.44710176322748,103.34605805754961,109.67733192020151,110.84132076407705,108.3864379581013,113.84140681037177,110.30799801432087,116.2478381924849,115.87891082260344,113.01634491388407,117.76018837386638,117.3239393865504,115.28983296706636,119.62937214644003,117.7495471463047,116.51223178281265,125.01561965414663,124.16643270940956,125.14604487421654,124.95822508291603,121.98057489931097,121.93812405792681,130.46721894685246,129.1850019760842,133.57495113951015,142.02697105747168,145.6463137721899,145.98796189335366,142.70103825348514,142.8064069977897,150.65308176928076,158.55024171118671,161.82306315843698,159.09926148976245,156.84446297764205,156.12420989337247,156.22497897184132,149.6122973752553,158.75678840783232,159.44296087896774,155.32058284818302,150.78449755708633,158.43038345596364,152.32373080994603,160.68936976712737,159.46593645708037,144.50566513276618,146.60458340624228,137.99301099003114,142.85764555996076,136.92821416939364,141.17746597416456,148.8280253928634,147.11648607876438,135.47199225255514,130.51925224376686,132.95738877718878,131.05276031289125,132.11336604385588,125.51427146652793,127.09649400465725,124.51247955253531,124.75081050656549,130.3075095201372,130.30759714848116,119.0681941596475,115.38760059925949,128.15810095877194,127.80560163558617,132.30697739261268,127.43639215453561,123.42968599590962,121.83374559960266,124.13880771305308,126.56901694730415,131.46609458748307
2.0,129.0783373479082,130.29065605585106,136.81231535849227,137.50818889626348,141.6658048635493,133.46438903570856,132.73348045114003,132.44899791690264,133.81026354037783,142.09895895418566,143.93346104487662,146.18715091576243,157.30057819106761,151.99782998218646,157.7269981645709,161.83930054664393,165.33982119843034,161.98095567473806,153.42175037009116,155.89212660003665,159.95234161940496,161.14455182064185,166.16569137028605,165.5750273597129,170.3071030019131,172.032339068642,179.45261103904124,183.7877345786527,183.85042599995964,188.12675725463762,181.24912753050606,180.03342952715244,171.61815971393926,169.13731793573984,178.7938530447033,173.9708063260213,163.61286276931386,166.24566926458053,172.73062378081875,168.7007597806424,181.64102719487104,191.33265984487994,191.74056308887145,190.45607526734742,193.88828307464593,188.0114067330932,176.6785407555427,166.79276375560076,163.63482221945492,174.21954032778908,170.59559786828092,169.0705077134597,175.33835643814928,174.15210777401677,174.80616279126846,179.4844703187497,188.35524639684317,185.38204001451354,183.41784289939403,197.13599995280654,198.22469309959536,198.8792284409916,202.6146699017941,209.4414078859284,210.1005695315713,198.7384357501601,201.7757157040273,191.44126331958182,188.14659398008735,186.79160789071457,181.3400657862276,180.56684745933612,161.6905945207878,160.15915610592228,163.93997440911104,168.2880903650076,154.65171221749088,150.2722338851593,151.67447618060166,148.20586064396372,155.24410273531808,153.9364197452823,152.2944555355158,159.707628854489,161.1204768556721,166.2739082265318,162.20355468260988,165.90133043252953,166.2079770250287,164.84321559186827,167.93252011149798,176.97553322974858,169.4983780485705,174.8450936389548,182.7558450681,177.98612848905302,175.9608318401523,161.14083924047713,164.62147511533473,159.49806648120583,169.04310971416317,173.8483585973837,173.29132291883442,171.04832757470936,181.39930899573207,172.48169982811922,176.92619102584464,177.1374661197478,188.01621818759776,184.3237395664778,184.53419290849806,173.29885941975846,172.12297566875353,162.32031350054058,167.11253935593777,173.65141167345868,177.78585273039977,176.75590170045177,180.37120134246751,179.427982736821,182.1386232075616,179.91557598793383,170.88977636676157,163.73206738403576,153.02661398773174,161.9923354640692,167.1219301411267,173.6954516521481,176.1250136541724,180.85028328924656,180.31453295627068,186.47446928076565,184.43054156828498,167.0676609292062,162.43704880887375,172.41278153959956,167.77730436319234,161.16398890262718,160.34319699236917,154.5574310635415,164.86659988152576,178.40981455171655,173.62094722681053,175.69438991715393,171.17844346125335,170.40017261340364,164.04119228170975,173.38970420174581,167.69461902449314,172.2430908572691,177.82842366785894,185.5220231967797,176.16824981421914,179.5553292068323,176.9712161421333,177.94163711047355,194.9170410561309,189.27181818037138,200.13407468681226,211.26801445095597,205.43576356631095,202.01303250750357,203.2950844106721,201.36647738770392,202.47305086718558,200.74816033850124,194.23645226178,187.9587204454111,196.2142949309813,194.74072574146578,196.17518739572304,202.6084921443226,206.9018209706094,204.67766759424566,204.90829115655512,201.60470876883628,195.14059848243855,205.9854812598804,193.109085966052,193.51270428558036,191.9026981989981,196.06154248803904,188.4806117965753,187.44179855930324,184.86666619661065,192.61848951756755,186.32455175209913,191.3284340653867,189.63373640946267,187.44639159140002,184.97222663606644,174.1696009388314,179.61515952931092,184.88500018459303,188.56019125389045,176.45540730062143,178.20246961036102,181.88924042793553,172.04882548977014,168.22979861189367,165.6594840379271,160.38918417989169,168.3063357341463,160.9310203618379,166.47833231578952,160.5882393135516,156.58927944340658,150.1355865453569,162.0862040263605,161.40257935618226,165.09852170582522,162.64433689472597,163.36002444567566,171.3545744886887,173.50361330225587,183.56319818621748,195.87437669476597,199.12428074805794,211.40235934430103,216.2690668359254,210.58223804551704,207.09758497425312,208.16389362044487,204.89253741704755,200.82045963950387,197.76235576631123,197.91366423565557,187.54125956022685,194.707531067877,200.95925115791738,205.42943547005504,207.15130127576282,199.98188921768642,198.4187261901189,201.19376429754445,186.447840520456,189.19774781705058,187.93076074360695,188.34093256562267,191.34332608453968,184.9988435858459,194.83516016067455,198.80369065781395,203.61044450299295,208.79447051576355,221.02830864690992,209.51165017324345,215.35442240096157,219.9031504568898,222.17451113173362,230.92163945684484,216.72298289648157
3.0,119.0886374208259,118.1400649331971,120.78969468818522,122.84731465343496,115.75746731671524,111.35959695070586,113.81547960926562,115.98242835982268,116.30009537771856,116.61971842033341,113.83041882593189,112.21659009417729,107.36915484005877,112.56230440344689,120.13143260890935,114.7672647644765,112.84384959319031,116.60032373047916,116.98857100889936,124.5083393375339,123.41126389683627,126.58533281714847,137.5568140889128,138.34547820679032,131.2276554320552,129.04023215785094,125.87215173292776,126.43511026356758,122.55951430999345,119.24807224008765,120.68183795529755,121.86904347224268,120.1408763884738,111.64347428436243,117.08403582727857,111.80487315991006,116.12088797755054,109.83716345714794,104.87186109730142,102.71895170568126,105.09967446504949,113.76957864238155,110.91807513495372,113.18871405064269,112.32092241923357,111.4523747994053,108.64592678223516,103.75760545578197,105.38884147450663,105.31310346328065,110.42101685445687,104.6534343096332,102.27164542315874,108.26619107970467,105.39791689358957,102.79429064010857,105.9686210089422,104.34925047140298,110.5278082052997,115.31444224055521,113.81255215555632,117.70169045306417,114.45281822991235,115.82136124190728,114.76308235973285,115.43997350255762,128.09961316501165,127.81370917520611,129.19192658496783,126.96493585949968,134.33297035880338,128.70065290638902,131.4939571590987,130.3820099316289,132.1088658563528,132.78323116915965,130.94075344909314,133.4675655141265,140.89768152887842,138.88398131145755,137.43655698555702,132.03351486882406,124.10591337869035,127.47123422007458,124.75563043010105,123.63106656176231,120.99104811213299,115.13319295073633,115.52660173545878,112.83865492096567,106.14350216804797,102.2843006002421,99.91210824871598,96.29170620671239,94.62568813460636,90.0928935525888,89.82675688839417,83.66921394103663,87.00810818308253,88.85677753280177,92.31637368840855,88.04706941390117,88.36523036269028,92.9326317409042,93.51249745246533,97.09240929861477,98.7630599201257,99.80169605178739,95.50539102466139,91.94594539601424,97.22134460450808,99.43059060649486,100.57006458673801,103.22117891176829,106.79878795599653,107.0189781224737,108.0368305716514,107.18189869399406,111.78352422810735,112.72620807860756,110.09313264856158,115.33400380356444,115.31191434800883,116.21897366546695,119.7928379413071,117.5020571422847,119.69244408011984,120.5625432510225,120.72882410451955,116.04712401017439,112.56673873131173,106.43877748696781,104.23235356651196,100.22393224624471,95.20979964307705,95.18291148852201,90.5394922351296,88.23373771173262,89.71833471960186,86.40739722563254,88.31840666286644,88.46479797937688,91.00486931244046,97.96679762924612,94.31651181304191,90.30495211765444,91.10797410044624,89.71596641620644,86.57157462338428,84.42377883905496,86.70638231427276,83.30910794428843,84.95666243342205,86.67303410538989,91.12416625593569,90.86418629073717,87.01877712669153,85.56608643356971,88.63410364105671,94.78108023143987,101.22239587813935,96.65181966175456,96.45189593784633,95.33870744729973,94.44127832395449,94.26536550496802,95.53548617774888,95.40339731717904,98.22988225359468,90.87093004387907,87.48809173092705,90.82405543052012,87.65507863915168,92.47653826910836,96.81877625456607,97.67969542398077,100.44805406848509,109.94134091694757,113.06128605181507,108.2595867164163,110.56855540668936,114.62441640168207,107.84139470168783,106.49578699694585,100.75032984433176,98.89362399824475,102.6221640877012,103.08233028597236,104.63277882271248,108.88571690518042,108.42844014198087,112.85642799523977,116.4915151069922,123.34747177468243,125.95921619116828,130.79323252330255,121.25562331355063,120.01430660667718,117.07522776207968,118.86051059427155,120.58263548803284,119.17646551316386,120.81935832766382,120.94361673255418,118.52815442514999,110.84722143915181,114.65374374645425,109.25389175162185,106.4707913468627,103.42227858679668,99.1603583933233,98.61872554640046,95.26121457015084,100.8182921387932,103.92147327922036,106.80537556683143,111.3191315296573,114.71903922905838,116.35302879835884,111.13227622540326,118.39647568606901,116.68279593293425,116.72073095531849,116.69667160667883,113.43188128213598,113.13463388635833,113.1421452777975,116.64858987857158,118.97353544209663,128.97190590038178,132.7959034673258,128.29065555069127,127.08562051121605,115.44481769734169,113.03533952799985,116.8085653738261,119.07875528157314,117.58083025782481,114.07044844320005,107.9178916058675,111.97519556220243,118.97056274282701,117.72118831809757,114.9938157656665,112.56962809980219,106.62981175770823,103.32500851746148,109.09589495595705,109.17841416649053,107.86857000901611,100.33285951064653,100.82374194516049
4.0,124.75966104691143,126.46472319525212,125.11556832275292,122.80538954024145,120.72764951887997,124.56261994667003,126.50378524919435,134.85205823789352,141.08932615246115,142.12648077388354,152.41061829285624,154.44945641319694,150.3911069136583,157.5682821261452,156.61416772571877,146.7783934813172,142.74709858540922,144.1960133291427,148.11016167864355,148.25850676921814,139.65276100621733,127.54812737406364,127.90885429638016,130.56609625740896,125.39305611910852,121.52683996166469,123.88155586468677,121.13313174283864,113.30189538756194,120.15267323638518,121.96790959696861,131.85042838005353,129.63754126326552,133.56650571024298,137.1248233208183,140.07281533822928,142.71318264984455,141.35352811584653,136.80262773971754,137.6431818030293,131.9285975913735,136.60227185175225,141.1862595397688,150.63487564461497,145.6480923637682,151.48520046423894,148.30932887021575,146.12052322478496,149.77839423604186,157.63204222658524,167.60586323928172,170.6960885327161,163.75451780835846,161.7261159457025,154.79816134437783,149.47002860226738,144.6035793867499,148.20053557331835,157.40322928576555,158.60082089877258,157.65070627357537,151.8132296404046,141.89547751282262,146.81926663092867,144.55632286717653,134.89394683230202,138.1898913307875,141.24330006671175,146.5507098263952,141.53744634897888,146.27745330846554,149.1642731938315,142.75923176070827,133.0327900045656,134.59728309684482,134.56169524197443,123.71318916775199,120.93458110173471,120.42661879778468,118.13094504579675,121.91157064000448,117.1910277414258,118.69525284732721,123.6583333065958,117.07239950571476,114.39064353513137,109.90495175772047,112.88123072369415,115.40011772818107,118.00600332632987,123.10911897831589,124.58132657333218,133.71407024747626,135.97582378795659,140.49260239560118,127.22958074728471,127.3314629405506,127.7362601700687,126.87764898737485,125.87746376836677,129.0496750048626,132.65187242615215,128.10018294640784,132.2498407576233,129.48831381724642,125.45787289715275,129.49749752755795,137.00586402708447,139.16031384141053,144.10529897863313,150.97984877982555,154.24936629321073,163.20370672713508,157.19621528766393,159.84346726647271,147.1750163687129,154.1503602862404,149.73100618149635,156.31684420647952,159.39310448169638,147.67698931596078,149.62717625248737,154.76081598464583,156.2946613335912,166.89772400813646,157.82748124852043,155.21864027125022,149.4506056210927,149.75885498310896,144.7069009728059,132.8892930806331,134.8339727615488,129.85112021742896,135.05306496521337,135.63367131135908,139.12523903541546,142.77033915977,144.6703916526784,139.1619072711126,138.43933451010778,137.5442586216049,136.9590644401862,143.62389153551368,154.48206045915694,150.5104522559793,149.23805264812722,146.73093257278256,136.45583977084104,139.59548025819214,142.44045495153657,135.66968506805225,135.22555946379447,138.7003033684121,138.82305921322157,137.89366176697743,142.35140935228577,139.77593601362327,134.86942299664815,134.3081877798349,136.46436761079883,139.9252710034571,138.76457450939898,132.48848007736044,138.32413230889765,144.6968883689049,146.77537532992122,156.29626214599713,165.62927143797697,177.63796711903416,179.09501356269047,181.3788432281748,182.99500220941204,188.64243429384354,189.17330670771182,190.75746795691364,197.7713510863092,202.39028534440018,192.53247015616307,200.67295146587182,202.64734997662282,209.6918925255542,217.51553028374215,214.89866422122526,216.5192316354714,221.42655073067752,216.8710302880513,235.06030471343914,230.95251237729804,226.68004552226006,225.80849141145487,233.24366409263789,244.80825713596133,231.2486396327833,221.71556540560553,231.31926550064478,207.67246384326964,208.81469709288783,212.34530175867465,201.3284301935998,218.63628789012964,211.7057795704933,210.428388650433,213.59661872572988,204.17887848914845,215.23797332268938,215.1361172565379,210.16378924187515,220.4618429298803,217.17801537150643,217.26979159954482,232.55153862913332,237.1337456895172,252.61510657960594,254.89168742095214,260.5486512619824,274.204566437678,269.2770345432459,271.6003301502546,265.6518564660116,254.44715012741597,256.6755218595013,258.7982020398413,262.60179270304974,255.78733287595077,268.9817224783473,267.87356804016264,268.611102323168,280.77782032831976,292.8459132103914,288.07705923045586,282.4543634244875,268.124351493959,270.47838441380276,264.43789096830477,266.0323554116504,284.92425894358684,288.77988191133187,323.3446658941069,332.591035303205,324.93302311839597,310.98514549817014,306.1472475479523,320.0981270951531,317.27273898450994,328.3917136744417,336.96236107235194,346.86000135566957,357.3911494132821,358.60932299318847,367.33369397568123,359.9190326880812,333.05733116202913
5.0,117.68382758431162,118.35766230388923,119.13328389376497,115.13261554298931,117.93488835591242,117.44707789126646,111.01319648567761,112.47431591521334,109.41866582140055,110.21866731230257,109.71543678265961,116.36279553654259,115.82191987980006,106.84761006208083,104.46125272206554,97.73622545232656,100.18738988278122,106.52565720346277,109.79043575433369,108.52817594937066,109.20084369376696,99.06606719878437,99.25814349470241,91.9926085471271,96.16735359309057,97.19478322543867,97.34551323945684,98.14278016299836,100.54136563487508,101.5080264729117,108.29827755921323,106.56671579468318,105.96999696330043,104.59017528948115,103.03627838760005,107.54777165794783,108.73727742981337,112.9401149631212,109.14742536798994,108.89398817765262,109.63376582454164,116.91063628697822,119.26860025992028,122.08365819827205,120.08705542224178,114.97627620053497,118.59568191602962,116.49237358602267,121.44160713553418,124.83867705081303,122.99825053985815,120.30514540208875,115.66449523539818,108.17657734919977,108.7583060838761,108.57901228007657,113.79455104093442,113.23597263924657,119.30084382780409,117.67413973808638,122.20328950783217,122.08986056629948,130.34823816947664,128.18336262400354,125.38387615960525,121.99689795228136,122.9012131316137,128.14269279688682,128.70695490427752,127.64212811051576,127.61027284017095,124.7260754980335,122.46495939031146,116.18881888558562,121.70617168535773,120.53845283759426,118.6870660327068,118.29718726575109,116.96855154855099,118.45236493681868,125.27211629240598,123.61230462656799,122.33258330293121,121.67868902561956,125.18966049232466,123.79794338624588,123.30998425031181,117.2557367132052,120.05021212420512,127.62199287306242,129.63435437239005,128.16588406374322,129.72487151294095,130.65847394912942,131.60870368517274,135.4761532058589,131.11499619267656,129.61589724534088,132.05895215853255,126.93659973937889,129.29335681163747,127.49169320646807,130.16440826237945,133.24005999464296,128.10768029341256,127.90847959833984,128.12226372479014,127.66383672195815,123.7252768255499,126.02632046524243,121.11798487793911,118.47389378067595,119.29624864060577,121.82431674131017,126.55500806007554,130.28262197209347,132.05053961372928,135.41719528021193,144.28728036951384,140.57120220132956,135.46905008177305,131.2893599900507,117.56146427416712,120.10315185498658,122.5775989401884,127.0475135703347,132.94423929699624,143.72282749545528,144.5102669567158,137.61426778932776,130.54688651722404,133.7497317220587,136.19363275402887,126.29688975906346,128.48452175575454,130.9149152384192,126.45013192950643,132.90199913066485,142.83178488233597,145.03824351374274,149.76742031727267,153.72078075430065,146.8925956076411,145.58834961975467,142.4723003620755,138.50820483289436,143.98803677542932,144.52272085564005,147.46796883780607,147.56908927127768,150.6715738121026,154.3838610939784,158.94742142907063,163.15343313610805,162.05103854619813,161.17213229995843,166.78398922458445,170.51033240341434,166.48451020941903,170.18799412303315,168.9166700935709,174.43190820180172,186.17004696478043,185.7748397624624,176.244987776747,178.67847380663488,163.37668978865358,155.30695234011623,162.37873300738934,164.53757908737748,162.403309317256,157.3058676488654,159.71188685476983,169.44904657387428,173.46698015718422,168.82538299335178,158.16607107560856,152.85023101794448,151.86415144147747,156.80443574945437,149.94277441941847,146.5554594233243,153.5487998627404,156.31070661989193,171.86180384673466,187.10095552387423,188.25686633106602,192.93090036108558,194.9273259168271,199.80049555218167,191.06884539983125,199.51227820150686,212.88159393347044,209.11309358017087,202.6095314281156,211.34144811060438,213.28615891271804,209.62424341993562,209.64256665860904,213.26884593239575,214.4011703385446,230.18359520917684,221.06962890858196,218.27899243038217,215.17692573359557,212.4693407185092,218.69967383909892,220.4522180241349,225.6335596885912,228.1107806496408,235.98622404400368,222.83239426151914,216.99584981319242,215.3582232670419,201.0083671513429,205.55671406565403,201.7979808735364,201.5848417039251,200.6625207592791,188.9166608022125,197.8592505046692,183.32510977009926,188.5158891304035,181.6398096545107,181.65485449872455,172.60046361886262,180.26010307874236,185.9351669765796,186.2453494067607,171.00187851294442,162.7545001678328,156.62784710541322,162.2744952362536,164.75963721590918,160.47106776891644,154.04556417740667,156.45177556954422,155.4105980862415,162.2953022917455,157.6482774672053,160.2226298638191,158.42547735167818,156.4763092849934,162.11835635892652,156.8919872145724,166.11404489397606,166.86821951339263,171.10130555027789,178.6144838929531,174.87579198548653,184.30494519424062,181.43439826716263
